Name,Scholar Link,DBLP Link,Enabled,Exclusion Reason
Bonnie MacKay,https://scholar.google.ca/citations?user=fqtL2yMAAAAJ,https://dblp.org/pid/82/1523,true,
Yannick Marchand,,https://dblp.org/pid/17/4063,true,
Gabriella Mosquera,,,false,No Scholar or DBLP profile configured
Raghav Sampangi,https://scholar.google.com/citations?user=x_Cy69EAAAAJ,https://dblp.org/pid/49/10961,true,
Angela Siegel,https://scholar.google.com/citations?user=joV1qkYAAAAJ,https://dblp.org/pid/182/7018,true,
Lu Yang,,,false,No Scholar or DBLP profile configured
Stan Matwin,https://scholar.google.com/citations?user=rCoJeuYAAAAJ,https://dblp.org/pid/m/StanMatwin,true,
Michael Shepherd,,https://dblp.org/pid/77/2373,true,
Jacob Slonim,,https://dblp.org/pid/25/2958,true,
Nur Zincir-Heywood,https://scholar.google.com/citations?user=F9nG0F4AAAAJ,https://dblp.org/pid/303/3845,true,
Carolyn Watters,https://scholar.google.com/citations?user=P02fwREAAAAJ,https://dblp.org/pid/w/CarolynRWatters,true,
